# Rescue verdicts: papers fermlit's first rubric EXCLUDED (or left borderline), re-screened
# under the second rubric in MTDNA_RUBRIC.md -- "does this paper help someone engineer the
# yeast mitochondrion or its genome?" -- extended to cover the Ehrlich/BCAA payload,
# compartment-specific cofactor measurement, protein targeting, genetic-code and codon
# engineering, and yeast genome-engineering methods that transfer.
#
# ONLY RESCUES ARE LISTED. A paper the second rubric also excluded stays excluded and has no
# row here; the file's job is to name what the first question threw away. Every row is a
# CHANGE from that paper's first-rubric verdict.
#
# The organism clause is deliberately opposite to the first rubric's instinct: a mammalian or
# plant mtDNA paper is included when the METHOD transfers, because those are often the only
# published record of a technique.
#
# Re-screened: 2834 fermdb publications. Rescued to include: 709. To borderline: 549.
# Still excluded: 1533.
#
# TWO MODELS screened this corpus, and `decided_by` says per row which one decided that row.
# The run began on qwen3.6:27b -- the same local model that produced every first-rubric
# verdict -- and was stopped part-way when the GPU was needed elsewhere; the remainder ran on
# claude-sonnet-5 through the Claude Agent SDK. qwen rows: 348. sonnet rows: 910.
# The rubric, the two-pass structure and the 20-85 escalation band are identical across both
# halves; only the backend differs. Read `decided_by` before treating the file as homogeneous.
#
# Two passes, fermlit's own: title score, then abstract for the band (20-85).
# NOT INSTALLED -- installing is a curator act.
publication_id	decision	reason	source	decided_by	decided_by_kind	decided_at	in_atlas	pdf_file
doi:10.1002/j.1460-2075.1991.tb04962.x	include	Reports on mitochondrial DNA replication mechanisms in yeast, directly addressing mtDNA maintenance and state.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1992.tb05336.x	include	Reports I-SceI endonuclease-mediated recombination in yeast mitochondria, a foundational method for mitochondrial genome engineering and gene targeting.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	10.1002_j.1460-2075.1992.tb05336.x.pdf
doi:10.1002/j.1460-2075.1992.tb05474.x	borderline	The paper characterizes BCS1's role in respiratory chain assembly (OXPHOS), which is informative about the chassis but does not provide a method for engineering the mitochondrial genome or its parts.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1995.tb00095.x	include	Reports tRNA import into mitochondria in Trypanosoma, a method that transfers to yeast mitochondrial engineering for codon usage and translation optimization.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1995.tb00191.x	include	The paper explicitly uses biolistic transformation to introduce mutations into yeast mitochondrial DNA, a core method for engineering the mitochondrial genome.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	10.1002_j.1460-2075.1995.tb00191.x.pdf
doi:10.1002/j.1460-2075.1995.tb06989.x	include	The paper identifies ATM1 as essential for mitochondrial genome stability and cytochrome assembly in yeast, providing a critical mechanistic handle on mtDNA maintenance required for engineering the organelle.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1995.tb07331.x	include	The paper investigates the mechanism of mtDNA deletion formation (petite mutants) and genome loss in yeast, which is directly relevant to understanding mtDNA state, maintenance, and inheritance.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/jcb.240240305	borderline	Nuclear-encoded COX subunit V cloning and mitochondrial assembly study is adjacent chassis biology, not itself an engineering method or standard assay of the listed types.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/jcp.21048	borderline	Studies VDAC1 nucleotide-binding site mutants using yeast porin-null complementation as a bioenergetic readout (growth on non-fermentable carbon, ATP synthesis), which is mitochondrial channel physiology rather than a genome-engineering or delivery method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/jcp.24926	borderline	Discusses compartment-specific NADP biosynthesis (mentioning yeast Pos5-type NADKs) but is a human-disease-focused review of MNADK discovery/physiology rather than a transferable engineering method or yeast measurement.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/jmr.300030508	borderline	Uses classic yeast marker-disruption/transformation and mitochondrial isolation/citrate-uptake-oxidation assays, but the paper's focus is citrate carrier physiology rather than an engineering method itself.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/jobm.3630120307	include	Classic study of petite mutation/respiratory deficiency causes, directly concerning rho- petite formation and mtDNA state central to yeast mitochondrial genome engineering.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/jobm.3630180406	borderline	Title indicates study of petite mutation kinetics (rho- formation) in yeast, relevant to mtDNA stability/state but no abstract to confirm assay or mechanistic depth.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/jsfa.6997	borderline	Describes a nuclear rDNA-locus high-copy integration/marker system (CUP1) in S. cerevisiae, a generic yeast genome-engineering toolkit method with no mitochondrial content.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/prot.21354	borderline	Crystal structure/enzymology of glutathione reductase Glr1 involved in mitochondrial redox regulation, but no compartment-specific measurement or engineering method reported.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/prot.340060404	borderline	Yeast iso-1-cytochrome c loop mutants are assayed for effects on heme attachment and mitochondrial import, an indirect handle on import determinants rather than a transferable import method itself.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.1010	include	Identifies nuclear genes (NET1, HFI1) controlling spontaneous rho- mutagenesis and mtDNA genome maintenance fidelity, directly informing mtDNA stability manipulation.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.1121	include	Directly studies mtDNA maintenance/stability, mitochondrial genome loss, and rho+ segregation in Saccharomyces cerevisiae mutants, a core mtDNA-state topic.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.1344	include	Characterizes a critical region of the S. cerevisiae mitochondrial DNA polymerase (Mip1/pol gamma), directly relevant to mtDNA replication and maintenance machinery used in genome engineering.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.1488	include	Establishes a LiAc transformation protocol, plasmid maintenance, kanMX marker and GAL1-driven overexpression in a Saccharomyces relative — general yeast genome-engineering toolkit components that transfer directly to strain construction for mitochondrial engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.1543	borderline	The paper characterizes mitochondrial protein localization and metabolic flux (pyruvate dehydrogenase regulation) in yeast, which informs chassis physiology but does not provide a method for engineering the mitochondrion or its genome.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/yea.1655	borderline	Transcriptional regulator of mitochondrial biogenesis genes during respiratory shift is informative chassis biology but not itself an engineering method or measurable part.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.2911	include	Reports a flow-cytometric assay for estimating mitochondrial DNA copy number as part of optimized nucleic acid extraction protocols, which is a directly usable mtDNA copy-number assay method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.2922	include	Homo-integration of ILV5 (acetolactate reductoisomerase, BCAA pathway enzyme) into brewing yeast genome is both a BCAA-pathway enzyme manipulation and a yeast genome-integration method.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.320010204	borderline	Cloning and characterizing a nuclear PET18 locus involved in mtDNA maintenance (rho-0 phenotype) and killer plasmid maintenance is adjacent to mtDNA state/inheritance biology but reports gene mapping rather than an engineering method or assay.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.320050204	borderline	Uses rho- petite mutants as a tool but the focus is retrograde effect on nuclear gene expression, not an mtDNA engineering method itself.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.320070106	include	Maps ARS-like activity and transcription initiation in a yeast mitochondrial origin region, directly bearing on mtDNA replication/maintenance mechanisms relevant to genome engineering.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.320091013	include	Clones and characterizes GUT2, the mitochondrial glycerol-3-phosphate dehydrogenase that anchors the glycerol-3-phosphate NADH shuttle between cytosol and mitochondria, a compartment-specific redox component relevant to engineering yeast mitochondrial cofactor pools.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.320100604	borderline	Identifies nuclear suppressor genes of a mitochondrial RNA polymerase mutant via respiratory-growth phenotype, informative about mtDNA gene expression machinery but not itself a transferable engineering method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.320111302	borderline	Characterizes a nuclear phospholipid-synthase gene required for rho-/rho0 petite viability and ethidium bromide mutagenesis survival, which touches petite/mtDNA maintenance biology but offers no direct engineering method or transferable tool.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.3288	include	Reports fixed schemata of mtDNA heteroplasmy-to-homoplasmy resolution and biparental mitotype inheritance in interspecific Saccharomyces hybrids, directly informing mtDNA inheritance/segregation control relevant to yeast mitochondrial genome engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.3466	borderline	Develops a biolistic transformation/vector system for a novel yeast, but it targets the nuclear genome (heterologous invertase) not mitochondria, so it's only an adjacent transformation-method precedent.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.3893	include	The paper develops a method for mitochondrial RNA enrichment and long-read sequencing to quantify splicing and transcript abundance in S. cerevisiae, which serves as an assay for monitoring mitochondrial gene expression states relevant to engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/yea.712	borderline	Characterises carnitine acetyltransferases shuttling acetyl-CoA across peroxisomal/mitochondrial membranes—a real compartmentalisation handle but not itself a delivery, assay, or engineering method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.878	include	Directly examines mechanisms of cytosolic NADPH oxidation by Kluyveromyces lactis mitochondria, a compartment-specific redox/cofactor shuttle mechanism transferable to yeast mitochondrial engineering studies.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.883	borderline	Characterizes Sco1/Sco2 copper metallochaperones for cytochrome c oxidase assembly (respiratory-chain assembly biology), an indirect chassis-relevant finding rather than an engineering method or assay itself.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/abbi.1997.0179	include	Directly studies redundant mitochondrial targeting/presequence signals for malate dehydrogenase and their metabolic consequences, matching the protein import/targeting and dual-targeting criteria.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/abbi.1998.0677	borderline	Characterizes assembly/solubility of a TCA-cycle enzyme subunit within yeast mitochondria but offers no transformation, targeting, or genome-engineering method itself.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/abbi.1998.0894	borderline	Study of respiratory-chain (bc1 complex) subunit stability via nuclear-gene mutagenesis and glycerol/ethanol growth assay is OXPHOS assembly biology with an indirect handle, not itself an mtDNA engineering method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/abbi.1998.0990	include	Maps yeast mitochondrial targeting/leader sequence and matrix-localization domains using chimeric heterologous ferrochelatases, directly informing protein import engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/abbi.2001.2520	borderline	Studies ADP/ATP carrier transport mechanism/cooperativity using fusion proteins expressed in yeast mitochondria, but is mechanistic carrier biochemistry rather than a transferable engineering or import method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/abio.1996.0242	borderline	Describes a His-tag/IMAC purification method to isolate assembled yeast mitochondrial ATP synthase, a useful biochemical assay but not itself a genome-engineering or DNA-delivery method.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/abio.1998.2683	borderline	Describes a biochemical affinity-purification/tagging method for an OXPHOS complex subunit, an assay/tool adjacent to mitochondrial engineering but not itself a genome-editing or delivery method, and no abstract is available to confirm mechanistic relevance.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/abio.1999.4382	include	Introducing chloramphenicol resistance into mammalian mtDNA and using yeast as a cloning vehicle for unstable mtDNA sequences directly matches selectable-marker and mtDNA-manipulation methods that transfer to yeast mitochondrial engineering.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/bbrc.1995.2504	borderline	Title suggests a study of FUM1 dual targeting (mitochondrial vs cytosolic fumarase forms), relevant to dual-targeting mechanisms but no abstract to confirm engineering utility.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/bbrc.1996.0329	borderline	Title indicates a yeast Ty-VLP heterologous expression system used to produce a mitochondrial protein, not mitochondrial import/targeting or genome engineering, but no abstract is available to confirm relevance.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/geno.1995.9950	borderline	Reports a human functional homologue of yeast ERV1 (mitochondrial IMS sulfhydryl-oxidase/protein import machinery), but no abstract confirms whether a transferable engineering method or mechanistic detail is included.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/jmbi.1993.1095	include	Concerns nuclear regulation of a mitochondrial mRNA (ATP9/OLI1), relevant to mitochondrial mRNA processing/stability and nuclear-mitochondrial expression control that engineering of mtDNA-encoded genes depends on.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/jmbi.1995.0165	include	Nuclear gene controlling translation/expression of mtDNA-encoded ATP synthase subunits 6/8 fits translational activator mechanisms relevant to yeast mitochondrial gene expression engineering.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1006/jmbi.1995.0636	borderline	Mitochondrial chaperone (Hsp78/Hsp70) function is relevant chassis biology but not itself an engineering method or measurable handle for genome/organelle manipulation.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
